,Date,Value
717,2010-12-20,0.26909
718,2010-12-21,0.27
719,2010-12-22,0.25
720,2010-12-23,0.25
721,2010-12-24,0.25
722,2010-12-25,0.269999
723,2010-12-26,0.265
724,2010-12-27,0.27
725,2010-12-28,0.301
726,2010-12-29,0.299999
727,2010-12-30,0.3
728,2010-12-31,0.299998
729,2011-01-01,0.299996
730,2011-01-02,0.3
731,2011-01-03,0.299899
732,2011-01-04,0.298998
733,2011-01-05,0.3
734,2011-01-06,0.322
735,2011-01-07,0.322898
736,2011-01-08,0.32
737,2011-01-09,0.329
738,2011-01-10,0.329
739,2011-01-11,0.33
740,2011-01-12,0.405
741,2011-01-13,0.45
742,2011-01-14,0.42
743,2011-01-15,0.4
744,2011-01-16,0.4
745,2011-01-17,0.4
746,2011-01-18,0.3401
747,2011-01-19,0.3675
748,2011-01-20,0.35
749,2011-01-21,0.4299
750,2011-01-22,0.4443
751,2011-01-23,0.43
752,2011-01-24,0.425
753,2011-01-25,0.425
754,2011-01-26,0.43
755,2011-01-27,0.45
756,2011-01-28,0.446
757,2011-01-29,0.45
758,2011-01-30,0.5
759,2011-01-31,0.95
760,2011-02-01,0.61
761,2011-02-02,0.75
762,2011-02-03,0.88
763,2011-02-04,0.78
764,2011-02-05,0.92
765,2011-02-06,0.90585
766,2011-02-07,0.92
767,2011-02-08,0.935
768,2011-02-09,1.1
769,2011-02-10,0.97
770,2011-02-11,1.0899
771,2011-02-12,1.08
772,2011-02-13,1.09
773,2011-02-14,1.085
774,2011-02-15,1.05019
775,2011-02-16,1.08
776,2011-02-17,1.05019
777,2011-02-18,1.02
778,2011-02-19,1.04
779,2011-02-20,0.8796
780,2011-02-21,0.869499
781,2011-02-22,0.88
782,2011-02-23,0.9499
783,2011-02-24,1.0
784,2011-02-25,0.96
785,2011-02-26,0.96
786,2011-02-27,0.949231
787,2011-02-28,0.96
788,2011-03-01,0.9498
789,2011-03-02,0.94
790,2011-03-03,0.95
791,2011-03-04,0.918901
792,2011-03-05,0.910445
793,2011-03-06,0.92
794,2011-03-07,0.9072
795,2011-03-08,0.883751
796,2011-03-09,0.9
797,2011-03-10,0.9329
798,2011-03-11,0.9197
799,2011-03-12,0.93
800,2011-03-13,0.9
801,2011-03-14,0.899885
802,2011-03-15,0.9
803,2011-03-16,0.88
804,2011-03-17,0.850617
805,2011-03-18,0.87
806,2011-03-19,0.79
807,2011-03-20,0.7883
808,2011-03-21,0.79
809,2011-03-22,0.85
810,2011-03-23,0.9
811,2011-03-24,0.86
812,2011-03-25,0.905
813,2011-03-26,0.8958
814,2011-03-27,0.9
815,2011-03-28,0.8
816,2011-03-29,0.795
817,2011-03-30,0.8
818,2011-03-31,0.79997
819,2011-04-01,0.79697
820,2011-04-02,0.8
821,2011-04-03,0.79
822,2011-04-04,0.71
823,2011-04-05,0.77
824,2011-04-06,0.7677
825,2011-04-07,0.799
826,2011-04-08,0.78
827,2011-04-09,0.758899
828,2011-04-10,0.781
829,2011-04-11,0.76
830,2011-04-12,1.0
831,2011-04-13,0.94
832,2011-04-14,0.99
833,2011-04-15,1.095
834,2011-04-16,1.085
835,2011-04-17,1.09
836,2011-04-18,1.19
837,2011-04-19,1.1979
838,2011-04-20,1.19
839,2011-04-21,1.332
840,2011-04-22,1.549
841,2011-04-23,1.38
842,2011-04-24,1.701
843,2011-04-25,1.73
844,2011-04-26,1.71
845,2011-04-27,2.65
846,2011-04-28,2.7
847,2011-04-29,2.66
848,2011-04-30,4.09
849,2011-05-01,3.495
850,2011-05-02,3.95
851,2011-05-03,3.58
852,2011-05-04,3.5
853,2011-05-05,3.56
854,2011-05-06,3.7
855,2011-05-07,3.9
856,2011-05-08,3.75
857,2011-05-09,5.2
858,2011-05-10,6.065
859,2011-05-11,5.41
860,2011-05-12,8.45
861,2011-05-13,8.9
862,2011-05-14,8.56
863,2011-05-15,8.5
864,2011-05-16,8.38901
865,2011-05-17,8.47
866,2011-05-18,7.34
867,2011-05-19,7.1
868,2011-05-20,7.28
869,2011-05-21,6.61
870,2011-05-22,7.45
871,2011-05-23,6.81
872,2011-05-24,7.51
873,2011-05-25,9.33
874,2011-05-26,7.95
875,2011-05-27,8.735
876,2011-05-28,8.4992
877,2011-05-29,8.68
878,2011-05-30,9.4998
879,2011-05-31,9.391
880,2011-06-01,9.47
881,2011-06-02,14.3
882,2011-06-03,17.41
883,2011-06-04,15.05
884,2011-06-05,19.23
885,2011-06-06,19.06
886,2011-06-07,19.19
887,2011-06-08,31.5
888,2011-06-09,35.0
889,2011-06-10,32.34
890,2011-06-11,24.99
891,2011-06-12,24.5
892,2011-06-13,24.87
893,2011-06-14,20.0
894,2011-06-15,19.96
895,2011-06-16,19.99
896,2011-06-17,17.2
897,2011-06-18,18.8766
898,2011-06-19,17.6
899,2011-06-20,15.5
900,2011-06-21,15.05
901,2011-06-22,15.39
902,2011-06-23,16.7501
903,2011-06-24,17.6
904,2011-06-25,16.95
905,2011-06-26,18.0
906,2011-06-27,17.52
907,2011-06-28,17.89
908,2011-06-29,17.5
909,2011-06-30,17.0
910,2011-07-01,17.38
911,2011-07-02,15.7
912,2011-07-03,15.85
913,2011-07-04,15.74
914,2011-07-05,16.5
915,2011-07-06,16.25
916,2011-07-07,16.44
917,2011-07-08,15.0
918,2011-07-09,15.68
919,2011-07-10,15.16
920,2011-07-11,14.63988
921,2011-07-12,14.15
922,2011-07-13,14.52
923,2011-07-14,14.3
924,2011-07-15,14.1
925,2011-07-16,14.25
926,2011-07-17,13.6901
927,2011-07-18,14.7
928,2011-07-19,13.93
929,2011-07-20,13.9389
930,2011-07-21,13.9389
931,2011-07-22,13.94
932,2011-07-23,13.979999
933,2011-07-24,14.7399
934,2011-07-25,14.16
935,2011-07-26,14.13
936,2011-07-27,14.0
937,2011-07-28,14.1
938,2011-07-29,13.8
939,2011-07-30,14.8999
940,2011-07-31,14.06
941,2011-08-01,13.45
942,2011-08-02,13.1
943,2011-08-03,13.37
944,2011-08-04,11.55
945,2011-08-05,11.0
946,2011-08-06,11.42
947,2011-08-07,8.89
948,2011-08-08,12.1
949,2011-08-09,9.66
950,2011-08-10,10.4959
951,2011-08-11,9.89520343
952,2011-08-12,10.35
953,2011-08-13,11.24
954,2011-08-14,11.89
955,2011-08-15,11.4
956,2011-08-16,11.3
957,2011-08-17,11.67
958,2011-08-18,11.39
959,2011-08-19,11.798
960,2011-08-20,11.59
961,2011-08-21,11.75
962,2011-08-22,11.49
963,2011-08-23,11.4
964,2011-08-24,11.47
965,2011-08-25,10.3
966,2011-08-26,9.11
967,2011-08-27,10.01
968,2011-08-28,9.4811
969,2011-08-29,9.15031
970,2011-08-30,9.4
971,2011-08-31,8.4493399997
972,2011-09-01,8.4989
973,2011-09-02,8.46
974,2011-09-03,8.5939999988
975,2011-09-04,8.467
976,2011-09-05,8.56
977,2011-09-06,7.59916
978,2011-09-07,7.31509
979,2011-09-08,7.53
980,2011-09-09,6.2089200002
981,2011-09-10,7.4
982,2011-09-11,6.49
983,2011-09-12,6.25
984,2011-09-13,5.9900000009
985,2011-09-14,6.19
986,2011-09-15,5.23
987,2011-09-16,5.022
988,2011-09-17,5.18
989,2011-09-18,5.6
990,2011-09-19,6.795
991,2011-09-20,5.89
992,2011-09-21,5.83001
993,2011-09-22,5.70653
994,2011-09-23,5.8
995,2011-09-24,5.5
996,2011-09-25,5.46014
997,2011-09-26,5.49
998,2011-09-27,4.989
999,2011-09-28,4.809
1000,2011-09-29,4.95
1001,2011-09-30,5.3
1002,2011-10-01,5.16
1003,2011-10-02,5.27
1004,2011-10-03,5.03
1005,2011-10-04,5.025
1006,2011-10-05,5.03
1007,2011-10-06,4.85
1008,2011-10-07,4.594
1009,2011-10-08,4.79
1010,2011-10-09,4.25937
1011,2011-10-10,4.14001
1012,2011-10-11,4.23
1013,2011-10-12,4.45
1014,2011-10-13,4.11455
1015,2011-10-14,4.37
1016,2011-10-15,3.9009000002
1017,2011-10-16,3.75996
1018,2011-10-17,3.87
1019,2011-10-18,2.64999
1020,2011-10-19,2.42
1021,2011-10-20,2.59
1022,2011-10-21,3.3
1023,2011-10-22,3.36
1024,2011-10-23,3.31
1025,2011-10-24,3.04
1026,2011-10-25,2.876
1027,2011-10-26,3.0
1028,2011-10-27,3.255
1029,2011-10-28,3.82717
1030,2011-10-29,3.39
1031,2011-10-30,3.388
1032,2011-10-31,3.35
1033,2011-11-01,3.38
1034,2011-11-02,3.299
1035,2011-11-03,3.21874
1036,2011-11-04,3.28
1037,2011-11-05,3.05
1038,2011-11-06,3.0289
1039,2011-11-07,3.04
1040,2011-11-08,3.114
1041,2011-11-09,3.0
1042,2011-11-10,3.09
1043,2011-11-11,3.11
1044,2011-11-12,3.099
1045,2011-11-13,3.11
1046,2011-11-14,2.69
1047,2011-11-15,2.6
1048,2011-11-16,2.67
1049,2011-11-17,2.38998
1050,2011-11-18,2.3
1051,2011-11-19,2.37
1052,2011-11-20,2.29
1053,2011-11-21,2.35
1054,2011-11-22,2.3
1055,2011-11-23,2.46
1056,2011-11-24,2.56
1057,2011-11-25,2.48
1058,2011-11-26,2.4965
1059,2011-11-27,2.53899
1060,2011-11-28,2.51
1061,2011-11-29,2.959
1062,2011-11-30,3.14
1063,2011-12-01,3.0
1064,2011-12-02,3.12999
1065,2011-12-03,2.99
1066,2011-12-04,3.1
1067,2011-12-05,3.05
1068,2011-12-06,3.082
1069,2011-12-07,3.06
1070,2011-12-08,3.039
1071,2011-12-09,3.04
1072,2011-12-10,3.04
1073,2011-12-11,3.34237
1074,2011-12-12,3.3
1075,2011-12-13,3.33
1076,2011-12-14,3.1933
1077,2011-12-15,3.23
1078,2011-12-16,3.2
1079,2011-12-17,3.25
1080,2011-12-18,3.70036
1081,2011-12-19,3.36
1082,2011-12-20,4.11
1083,2011-12-21,3.99199
1084,2011-12-22,4.08
1085,2011-12-23,3.9499
1086,2011-12-24,4.3897
1087,2011-12-25,4.06
1088,2011-12-26,4.06
1089,2011-12-27,4.18888
1090,2011-12-28,4.09
1091,2011-12-29,4.3
1092,2011-12-30,4.995
1093,2011-12-31,4.47
1094,2012-01-01,5.4999
1095,2012-01-02,5.29
1096,2012-01-03,5.45
1097,2012-01-04,6.399
1098,2012-01-05,7.22
1099,2012-01-06,6.6
1100,2012-01-07,7.2
1101,2012-01-08,7.2
1102,2012-01-09,7.2
1103,2012-01-10,7.138
1104,2012-01-11,6.997
1105,2012-01-12,7.1
1106,2012-01-13,6.75
1107,2012-01-14,6.98999
1108,2012-01-15,6.81
1109,2012-01-16,6.98
1110,2012-01-17,6.95
1111,2012-01-18,6.97
1112,2012-01-19,6.58
1113,2012-01-20,6.55
1114,2012-01-21,6.57
1115,2012-01-22,6.45485
1116,2012-01-23,6.515
1117,2012-01-24,6.47
1118,2012-01-25,6.2
1119,2012-01-26,5.689
1120,2012-01-27,6.08
1121,2012-01-28,5.76
1122,2012-01-29,5.6
1123,2012-01-30,5.72
1124,2012-01-31,5.638
1125,2012-02-01,6.2
1126,2012-02-02,5.77
1127,2012-02-03,6.0
1128,2012-02-04,5.9625
1129,2012-02-05,5.99
1130,2012-02-06,5.70999
1131,2012-02-07,5.8494
1132,2012-02-08,5.74
1133,2012-02-09,5.92525
1134,2012-02-10,6.0
1135,2012-02-11,5.94
1136,2012-02-12,5.72
1137,2012-02-13,5.6
1138,2012-02-14,5.69
1139,2012-02-15,4.73368
1140,2012-02-16,4.76998
1141,2012-02-17,4.74
1142,2012-02-18,4.33333
1143,2012-02-19,4.52
1144,2012-02-20,4.38
1145,2012-02-21,4.54
1146,2012-02-22,4.92481
1147,2012-02-23,4.63
1148,2012-02-24,5.07
1149,2012-02-25,5.00073
1150,2012-02-26,5.05
1151,2012-02-27,5.0
1152,2012-02-28,4.9
1153,2012-02-29,4.98
1154,2012-03-01,4.98888
1155,2012-03-02,4.77995
1156,2012-03-03,4.94
1157,2012-03-04,5.04
1158,2012-03-05,5.05
1159,2012-03-06,5.04
1160,2012-03-07,5.0
1161,2012-03-08,4.9499
1162,2012-03-09,4.99
1163,2012-03-10,4.99
1164,2012-03-11,4.95915
1165,2012-03-12,4.98
1166,2012-03-13,5.4444
1167,2012-03-14,5.45
1168,2012-03-15,5.45
1169,2012-03-16,5.3998
1170,2012-03-17,5.37998
1171,2012-03-18,5.4
1172,2012-03-19,4.98
1173,2012-03-20,4.87
1174,2012-03-21,4.95
1175,2012-03-22,4.83
1176,2012-03-23,4.74896
1177,2012-03-24,4.81
1178,2012-03-25,4.73793
1179,2012-03-26,4.74
1180,2012-03-27,4.74
1181,2012-03-28,4.86092
1182,2012-03-29,4.83
1183,2012-03-30,4.85
1184,2012-03-31,4.929
1185,2012-04-01,5.08
1186,2012-04-02,4.97
1187,2012-04-03,4.97
1188,2012-04-04,4.94486
1189,2012-04-05,4.96
1190,2012-04-06,4.98
1191,2012-04-07,4.8
1192,2012-04-08,4.94
1193,2012-04-09,4.9
1194,2012-04-10,4.8941
1195,2012-04-11,4.9
1196,2012-04-12,4.94464
1197,2012-04-13,5.03
1198,2012-04-14,4.97
1199,2012-04-15,4.98
1200,2012-04-16,5.02207
1201,2012-04-17,4.99
1202,2012-04-18,5.19
1203,2012-04-19,5.17
1204,2012-04-20,5.19
1205,2012-04-21,5.3287
1206,2012-04-22,5.21799
1207,2012-04-23,5.3
1208,2012-04-24,5.16
1209,2012-04-25,5.18
1210,2012-04-26,5.16
1211,2012-04-27,5.1176
1212,2012-04-28,5.0184
1213,2012-04-29,5.09
1214,2012-04-30,5.0
1215,2012-05-01,5.1789
1216,2012-05-02,5.04
1217,2012-05-03,5.15
1218,2012-05-04,5.1495
1219,2012-05-05,5.15
1220,2012-05-06,5.0947
1221,2012-05-07,5.1
1222,2012-05-08,5.1
1223,2012-05-09,5.125
1224,2012-05-10,5.03188
1225,2012-05-11,5.1
1226,2012-05-12,4.99888
1227,2012-05-13,5.036
1228,2012-05-14,5.01
1229,2012-05-15,5.08998
1230,2012-05-16,5.1345
1231,2012-05-17,5.1
1232,2012-05-18,5.14291
1233,2012-05-19,5.15
1234,2012-05-20,5.14
1235,2012-05-21,5.12
1236,2012-05-22,5.16
1237,2012-05-23,5.13
1238,2012-05-24,5.15
1239,2012-05-25,5.149
1240,2012-05-26,5.15
1241,2012-05-27,5.16
1242,2012-05-28,5.15889
1243,2012-05-29,5.16
1244,2012-05-30,5.19
1245,2012-05-31,5.27
1246,2012-06-01,5.21
1247,2012-06-02,5.26466
1248,2012-06-03,5.2785
1249,2012-06-04,5.27
1250,2012-06-05,5.47
1251,2012-06-06,5.529
1252,2012-06-07,5.48
1253,2012-06-08,5.69999
1254,2012-06-09,5.62
1255,2012-06-10,5.68
1256,2012-06-11,5.7
1257,2012-06-12,5.96
1258,2012-06-13,5.76
1259,2012-06-14,6.165
1260,2012-06-15,6.599
1261,2012-06-16,6.27
1262,2012-06-17,6.4668
1263,2012-06-18,6.53294
1264,2012-06-19,6.48
1265,2012-06-20,6.8
1266,2012-06-21,6.79962
1267,2012-06-22,6.8
1268,2012-06-23,6.5915
1269,2012-06-24,6.44999
1270,2012-06-25,6.56
1271,2012-06-26,6.55555
1272,2012-06-27,6.66897
1273,2012-06-28,6.58
1274,2012-06-29,6.693
1275,2012-06-30,6.694
1276,2012-07-01,6.69
1277,2012-07-02,6.765
1278,2012-07-03,6.55
1279,2012-07-04,6.71
1280,2012-07-05,6.73449
1281,2012-07-06,6.75
1282,2012-07-07,6.74
1283,2012-07-08,6.896
1284,2012-07-09,7.239
1285,2012-07-10,6.98
1286,2012-07-11,7.32
1287,2012-07-12,7.9
1288,2012-07-13,7.46
1289,2012-07-14,7.64877
1290,2012-07-15,8.2899
1291,2012-07-16,7.8
1292,2012-07-17,9.39899
1293,2012-07-18,9.27491
1294,2012-07-19,9.37
1295,2012-07-20,9.7
1296,2012-07-21,9.0
1297,2012-07-22,9.53
1298,2012-07-23,8.96
1299,2012-07-24,8.76998
1300,2012-07-25,8.91
1301,2012-07-26,8.95
1302,2012-07-27,8.93
1303,2012-07-28,8.95
1304,2012-07-29,9.15
1305,2012-07-30,9.44
1306,2012-07-31,9.22
1307,2012-08-01,9.8
1308,2012-08-02,11.1188
1309,2012-08-03,10.12
1310,2012-08-04,11.1869
1311,2012-08-05,11.29112
1312,2012-08-06,11.21
1313,2012-08-07,11.14999
1314,2012-08-08,12.0
1315,2012-08-09,11.35
1316,2012-08-10,11.59788
1317,2012-08-11,11.765
1318,2012-08-12,11.64
1319,2012-08-13,12.17887
1320,2012-08-14,12.67
1321,2012-08-15,12.3
1322,2012-08-16,15.4
1323,2012-08-17,15.26014
1324,2012-08-18,15.37
1325,2012-08-19,10.5
1326,2012-08-20,10.29999
1327,2012-08-21,10.45
1328,2012-08-22,10.25
1329,2012-08-23,10.25
1330,2012-08-24,10.25
1331,2012-08-25,10.61913
1332,2012-08-26,12.14999
1333,2012-08-27,10.99
1334,2012-08-28,11.20999
1335,2012-08-29,10.937
1336,2012-08-30,11.14
1337,2012-08-31,10.42
1338,2012-09-01,10.18999
1339,2012-09-02,10.36
1340,2012-09-03,10.5934
1341,2012-09-04,10.57888
1342,2012-09-05,10.59
1343,2012-09-06,11.29
1344,2012-09-07,11.21
1345,2012-09-08,11.27
1346,2012-09-09,11.127
1347,2012-09-10,11.19401
1348,2012-09-11,11.14
1349,2012-09-12,11.399
1350,2012-09-13,11.75
1351,2012-09-14,11.48
1352,2012-09-15,11.99
1353,2012-09-16,11.9625
1354,2012-09-17,11.98
1355,2012-09-18,12.61
1356,2012-09-19,12.68666
1357,2012-09-20,12.63
1358,2012-09-21,12.4433
1359,2012-09-22,12.2749
1360,2012-09-23,12.4
1361,2012-09-24,12.22909
1362,2012-09-25,12.28
1363,2012-09-26,12.24
1364,2012-09-27,12.444
1365,2012-09-28,12.49
1366,2012-09-29,12.46
1367,2012-09-30,12.481
1368,2012-10-01,12.88
1369,2012-10-02,12.58
1370,2012-10-03,13.0899
1371,2012-10-04,12.99
1372,2012-10-05,13.07
1373,2012-10-06,12.7369
1374,2012-10-07,12.08
1375,2012-10-08,12.58
1376,2012-10-09,12.15
1377,2012-10-10,12.19
1378,2012-10-11,12.16
1379,2012-10-12,12.137
1380,2012-10-13,12.0
1381,2012-10-14,12.1
1382,2012-10-15,11.99
1383,2012-10-16,11.99
1384,2012-10-17,11.99
1385,2012-10-18,11.967
1386,2012-10-19,11.85
1387,2012-10-20,11.94
1388,2012-10-21,11.81
1389,2012-10-22,12.0
1390,2012-10-23,11.86
1391,2012-10-24,11.71
1392,2012-10-25,11.09988
1393,2012-10-26,11.56
1394,2012-10-27,10.61
1395,2012-10-28,10.95
1396,2012-10-29,10.69
1397,2012-10-30,11.14
1398,2012-10-31,11.279
1399,2012-11-01,11.17
1400,2012-11-02,10.60097
1401,2012-11-03,10.68
1402,2012-11-04,10.62
1403,2012-11-05,10.88997
1404,2012-11-06,11.21603
1405,2012-11-07,10.97
1406,2012-11-08,11.07
1407,2012-11-09,10.95899
1408,2012-11-10,11.04
1409,2012-11-11,11.18
1410,2012-11-12,11.129
1411,2012-11-13,11.17
1412,2012-11-14,11.114
1413,2012-11-15,11.8
1414,2012-11-16,11.28
1415,2012-11-17,11.832
1416,2012-11-18,11.79998
1417,2012-11-19,11.82
1418,2012-11-20,11.784
1419,2012-11-21,12.28
1420,2012-11-22,11.9
1421,2012-11-23,12.4108
1422,2012-11-24,12.6
1423,2012-11-25,12.46
1424,2012-11-26,12.52999
1425,2012-11-27,12.40712
1426,2012-11-28,12.5
1427,2012-11-29,12.65
1428,2012-11-30,12.68778
1429,2012-12-01,12.66
1430,2012-12-02,12.67901
1431,2012-12-03,12.96675
1432,2012-12-04,12.75
1433,2012-12-05,13.6888
1434,2012-12-06,13.68
1435,2012-12-07,13.69
1436,2012-12-08,13.53
1437,2012-12-09,13.55
1438,2012-12-10,13.53
1439,2012-12-11,13.63999
1440,2012-12-12,13.79989
1441,2012-12-13,13.8
1442,2012-12-14,13.7722
1443,2012-12-15,13.66548
1444,2012-12-16,13.75
1445,2012-12-17,13.399
1446,2012-12-18,13.399
1447,2012-12-19,13.4
1448,2012-12-20,13.6475
1449,2012-12-21,13.58998
1450,2012-12-22,13.63
1451,2012-12-23,13.45
1452,2012-12-24,13.45
1453,2012-12-25,13.45
1454,2012-12-26,13.47
1455,2012-12-27,13.6499
1456,2012-12-28,13.51
1457,2012-12-29,13.56998
1458,2012-12-30,13.59
1459,2012-12-31,13.57
1460,2013-01-01,13.4
1461,2013-01-02,13.464
1462,2013-01-03,13.42
1463,2013-01-04,13.548
1464,2013-01-05,13.52999
1465,2013-01-06,13.54
1466,2013-01-07,13.83
1467,2013-01-08,13.87998
1468,2013-01-09,13.84
1469,2013-01-10,14.29999
1470,2013-01-11,14.34999
1471,2013-01-12,14.31
1472,2013-01-13,14.3
1473,2013-01-14,14.47899
1474,2013-01-15,14.34
1475,2013-01-16,15.39
1476,2013-01-17,15.985
1477,2013-01-18,15.53
1478,2013-01-19,15.89
1479,2013-01-20,16.98
1480,2013-01-21,16.15
1481,2013-01-22,17.5889
1482,2013-01-23,19.18999
1483,2013-01-24,17.97
1484,2013-01-25,17.61926
1485,2013-01-26,17.99999
1486,2013-01-27,17.71
1487,2013-01-28,19.8
1488,2013-01-29,19.7
1489,2013-01-30,19.78
1490,2013-01-31,21.3
1491,2013-02-01,21.1
1492,2013-02-02,21.25
1493,2013-02-03,21.05
1494,2013-02-04,20.79
1495,2013-02-05,20.99
1496,2013-02-06,22.15
1497,2013-02-07,22.15
1498,2013-02-08,22.15
1499,2013-02-09,23.61458
1500,2013-02-10,24.1955
1501,2013-02-11,23.97
1502,2013-02-12,26.09999
1503,2013-02-13,26.53092
1504,2013-02-14,24.3
1505,2013-02-15,27.07009
1506,2013-02-16,25.6083
1507,2013-02-17,27.39
1508,2013-02-18,28.78999
1509,2013-02-19,29.81231
1510,2013-02-20,29.48
1511,2013-02-21,30.901
1512,2013-02-22,29.27998
1513,2013-02-23,30.52
1514,2013-02-24,30.25001
1515,2013-02-25,31.179
1516,2013-02-26,30.4
1517,2013-02-27,33.50001
1518,2013-02-28,34.87799
1519,2013-03-01,33.36
1520,2013-03-02,34.10007
1521,2013-03-03,36.35
1522,2013-03-04,34.25
1523,2013-03-05,47.5
1524,2013-03-06,42.49271
1525,2013-03-07,42.0
1526,2013-03-08,46.01112
1527,2013-03-09,46.5
1528,2013-03-10,46.93
1529,2013-03-11,45.01771
1530,2013-03-12,46.79999
1531,2013-03-13,44.32
1532,2013-03-14,47.25005
1533,2013-03-15,47.11
1534,2013-03-16,46.9
1535,2013-03-17,47.65
1536,2013-03-18,57.76
1537,2013-03-19,52.12
1538,2013-03-20,73.8
1539,2013-03-21,71.5
1540,2013-03-22,70.25
1541,2013-03-23,70.1
1542,2013-03-24,73.88798
1543,2013-03-25,71.93
1544,2013-03-26,88.9
1545,2013-03-27,93.56701
1546,2013-03-28,88.8
1547,2013-03-29,90.99999
1548,2013-03-30,92.50001
1549,2013-03-31,92.5
1550,2013-04-01,108.73
1551,2013-04-02,138.79
1552,2013-04-03,117.34
1553,2013-04-04,143.8
1554,2013-04-05,142.49765
1555,2013-04-06,142.1
1556,2013-04-07,184.0
1557,2013-04-08,237.99
1558,2013-04-09,186.96
1559,2013-04-10,123.40098
1560,2013-04-11,76.488
1561,2013-04-12,124.9
1562,2013-04-13,91.0
1563,2013-04-14,91.0
1564,2013-04-15,100.0
1565,2013-04-16,85.59999
1566,2013-04-17,96.5
1567,2013-04-18,93.9
1568,2013-04-19,123.86
1569,2013-04-20,125.0
1570,2013-04-21,127.5
1571,2013-04-22,136.08099
1572,2013-04-23,153.20019
1573,2013-04-24,142.5
1574,2013-04-25,135.601
1575,2013-04-26,128.00001
1576,2013-04-27,137.0
1577,2013-04-28,141.50002
1578,2013-04-29,139.109
1579,2013-04-30,144.54
1580,2013-05-01,105.00003
1581,2013-05-02,93.15
1582,2013-05-03,103.3
1583,2013-05-04,117.89001
1584,2013-05-05,120.94999
1585,2013-05-06,115.98
1586,2013-05-07,113.95001
1587,2013-05-08,109.56154
1588,2013-05-09,113.35
1589,2013-05-10,115.4
1590,2013-05-11,114.32
1591,2013-05-12,115.68
1592,2013-05-13,119.0
1593,2013-05-14,114.98499
1594,2013-05-15,112.0
1595,2013-05-16,124.49
1596,2013-05-17,123.74995
1597,2013-05-18,123.32
1598,2013-05-19,122.65001
